customer_id,product_id,sales_transaction_date,,,,sale,dates,Cumulative sales of last 7 days,percentage change,,,,,,
18751,1,10-03-10 00:00,07:28:00,AM,,1,10-03-10,,,,,,,,
7236,1,12-03-10 00:00,10:52:00,PM,,0,11-03-10,,,,,,,,
42449,1,15-03-10 00:00,12:09:00,AM,,1,12-03-10,,,,,,,,
520,1,17-03-10 00:00,09:34:00,AM,,0,13-03-10,,,,,,,,
34611,1,18-03-10 00:00,11:21:00,PM,,0,14-03-10,,,,,,,,
30046,1,19-03-10 00:00,06:43:00,PM,,1,15-03-10,,,,,,,,07:25
2974,1,21-03-10 00:00,03:34:00,AM,,0,16-03-10,3,#DIV/0!,,,,,,
3899,1,23-03-10 00:00,05:12:00,AM,,1,17-03-10,3,0%,,,,,,
41373,1,24-03-10 00:00,05:16:00,AM,,1,18-03-10,4,33%,,,,,,
15589,1,25-03-10 00:00,03:40:00,PM,,1,19-03-10,4,0%,,,,,,
25988,1,29-03-10 00:00,09:52:00,AM,,0,20-03-10,4,0%,,,,,,
16392,1,29-03-10 00:00,07:25:00,PM,,1,21-03-10,5,25%,,,,,,
40647,1,01-04-10 00:00,04:33:00,AM,,0,22-03-10,4,-20%,,,,,,
24508,1,01-04-10 00:00,04:57:00,AM,,1,23-03-10,5,25%,,,,,,
10241,1,01-04-10 00:00,12:31:00,PM,,1,24-03-10,5,0%,,,,,,
32687,1,02-04-10 00:00,04:05:00,AM,,1,25-03-10,5,0%,,,,,,
14706,1,02-04-10 00:00,02:18:00,PM,,0,26-03-10,4,-20%,,,,,,
11260,1,03-04-10 00:00,08:14:00,AM,,0,27-03-10,4,0%,,,,,,
28653,1,04-04-10 00:00,02:01:00,PM,,0,28-03-10,3,-25%,,,,,,
6173,1,05-04-10 00:00,03:13:00,PM,,2,29-03-10,5,67%,,,,,,
38257,1,06-04-10 00:00,11:14:00,AM,,0,30-03-10,4,-20%,,,,,,
44990,1,06-04-10 00:00,04:16:00,PM,,0,31-03-10,3,-25%,,,,,,
27551,1,07-04-10 00:00,05:24:00,AM,,3,01-04-10,5,67%,,,,,,
27655,1,07-04-10 00:00,11:40:00,PM,,2,02-04-10,7,40%,,,,,,
22584,1,08-04-10 00:00,05:25:00,AM,,1,03-04-10,8,14%,,,,,,
40972,1,09-04-10 00:00,04:31:00,PM,,1,04-04-10,9,13%,,,,,,
21952,1,09-04-10 00:00,04:48:00,PM,,1,05-04-10,8,-11%,,,,,,
49044,1,10-04-10 00:00,06:13:00,AM,,2,06-04-10,10,25%,,,,,,
7290,1,10-04-10 00:00,07:22:00,PM,,2,07-04-10,12,20%,,,,,,
13051,1,11-04-10 00:00,04:24:00,AM,,1,08-04-10,10,-17%,,,,,,
43402,1,11-04-10 00:00,08:35:00,AM,,2,09-04-10,10,0%,,,,,,
28816,1,11-04-10 00:00,11:51:00,AM,,2,10-04-10,11,10%,,,,,,
